epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,148.944,0.8253,0.50083,0.90192,0.9161,0.94359,0.97584,0.69853,1.03913,0.59407,0.90233,0.000643101,0.000643101,0.000643101
43,152.273,0.80791,0.48581,0.89923,0.90603,0.89277,0.95591,0.66601,1.05114,0.68154,0.90245,0.000628101,0.000628101,0.000628101
44,155.695,0.80858,0.47271,0.91004,0.94311,0.87037,0.96324,0.70308,0.98622,0.61392,0.8867,0.000612981,0.000612981,0.000612981
45,159.193,0.79296,0.47279,0.89065,0.93495,0.8872,0.96254,0.71171,0.98691,0.60556,0.88966,0.000597754,0.000597754,0.000597754
46,162.949,0.76977,0.4741,0.87649,0.96322,0.89506,0.97527,0.70317,1.01063,0.54069,0.89559,0.000582435,0.000582435,0.000582435
47,166.703,0.77831,0.46036,0.88469,0.94266,0.9133,0.97134,0.7159,0.99834,0.56521,0.88668,0.00056704,0.00056704,0.00056704
48,170.268,0.78715,0.45309,0.89318,0.94062,0.9321,0.96926,0.70157,1.00674,0.59808,0.88221,0.000551584,0.000551584,0.000551584
49,174.395,0.76842,0.4664,0.88874,0.95289,0.90741,0.96102,0.71603,0.97942,0.60103,0.87732,0.000536081,0.000536081,0.000536081
50,178.305,0.76627,0.45029,0.89314,0.92709,0.94195,0.97406,0.71039,0.97086,0.53128,0.87455,0.000520548,0.000520548,0.000520548
51,182.26,0.79053,0.45707,0.89634,0.92105,0.93619,0.97102,0.71051,0.98612,0.54239,0.87833,0.000505,0.000505,0.000505
52,186.192,0.79741,0.45378,0.8921,0.94192,0.91358,0.96618,0.68206,1.06438,0.59537,0.90146,0.000489452,0.000489452,0.000489452
53,190.067,0.76993,0.45193,0.88881,0.92116,0.93763,0.97146,0.67535,1.06246,0.56865,0.90463,0.000473919,0.000473919,0.000473919
54,193.888,0.7618,0.44482,0.88352,0.92984,0.9321,0.97563,0.734,0.93052,0.53397,0.87738,0.000458416,0.000458416,0.000458416
55,197.787,0.74073,0.44008,0.88437,0.94284,0.91645,0.97435,0.72618,0.94044,0.53383,0.8791,0.00044296,0.00044296,0.00044296
56,201.513,0.74936,0.44396,0.88411,0.92129,0.93926,0.97792,0.73038,0.92183,0.52244,0.87391,0.000427565,0.000427565,0.000427565
57,205.281,0.74084,0.42484,0.88779,0.95477,0.91222,0.97934,0.73705,0.92914,0.52046,0.87367,0.000412246,0.000412246,0.000412246
58,209.21,0.74299,0.43548,0.87711,0.96004,0.90741,0.97842,0.72326,0.97705,0.51381,0.88286,0.000397019,0.000397019,0.000397019
59,213.141,0.75688,0.42928,0.86691,0.91314,0.95062,0.98077,0.73607,0.94136,0.4927,0.87481,0.000381899,0.000381899,0.000381899
60,217.091,0.73186,0.41555,0.88217,0.91773,0.91975,0.97537,0.71454,0.9845,0.52371,0.8865,0.000366899,0.000366899,0.000366899
61,221.016,0.72342,0.41709,0.8766,0.91974,0.91962,0.95487,0.70594,0.97157,0.60603,0.882,0.000352037,0.000352037,0.000352037
62,225.239,0.73828,0.41926,0.87491,0.94847,0.909,0.97351,0.72148,0.95391,0.54433,0.87194,0.000337325,0.000337325,0.000337325
63,229.805,0.73447,0.41515,0.87232,0.92202,0.9321,0.97516,0.72294,0.98334,0.53293,0.88073,0.000322778,0.000322778,0.000322778
64,234.178,0.72431,0.41161,0.87657,0.92135,0.94007,0.97657,0.73551,0.94927,0.53622,0.87652,0.000308412,0.000308412,0.000308412
65,238.482,0.7073,0.39993,0.87157,0.92684,0.93827,0.97709,0.73683,0.93108,0.52192,0.87183,0.000294239,0.000294239,0.000294239
66,243.395,0.73133,0.40126,0.87442,0.92753,0.93827,0.97684,0.72649,0.95509,0.51657,0.87555,0.000280275,0.000280275,0.000280275
67,248.268,0.72346,0.40116,0.86565,0.93698,0.91782,0.97423,0.7399,0.94991,0.52091,0.87267,0.000266532,0.000266532,0.000266532
68,252.865,0.70001,0.38861,0.86607,0.94214,0.91975,0.97595,0.73164,0.95715,0.52408,0.87654,0.000253024,0.000253024,0.000253024
69,256.484,0.71078,0.38554,0.85677,0.95126,0.91975,0.97764,0.72169,0.98856,0.52133,0.88454,0.000239766,0.000239766,0.000239766
70,259.859,0.68266,0.3798,0.8654,0.96099,0.91358,0.97975,0.72439,0.9937,0.49788,0.88435,0.000226769,0.000226769,0.000226769
71,263.358,0.6949,0.38614,0.8509,0.96704,0.90545,0.97716,0.74431,0.94412,0.49219,0.87259,0.000214046,0.000214046,0.000214046
72,266.815,0.68139,0.38753,0.86707,0.9659,0.89506,0.97855,0.74232,0.95736,0.48955,0.87359,0.000201611,0.000201611,0.000201611
73,270.336,0.69529,0.38938,0.8546,0.93554,0.94444,0.97865,0.73253,0.93843,0.48307,0.87064,0.000189475,0.000189475,0.000189475
74,273.602,0.6937,0.38621,0.86788,0.93558,0.94444,0.97875,0.74529,0.92804,0.48107,0.86698,0.000177651,0.000177651,0.000177651
75,276.965,0.67934,0.38011,0.86798,0.92948,0.93827,0.9803,0.75369,0.92765,0.48459,0.86623,0.000166149,0.000166149,0.000166149
76,280.384,0.65239,0.37083,0.84696,0.94931,0.92475,0.98132,0.73877,0.94715,0.475,0.86996,0.000154982,0.000154982,0.000154982
77,283.702,0.68501,0.37922,0.84711,0.92187,0.94684,0.98137,0.74775,0.92276,0.46537,0.86304,0.000144161,0.000144161,0.000144161
78,287.247,0.6902,0.38062,0.85783,0.92986,0.94444,0.97934,0.74904,0.91019,0.48018,0.86184,0.000133695,0.000133695,0.000133695
79,290.611,0.69294,0.37893,0.85434,0.92589,0.94444,0.97618,0.74127,0.94336,0.51731,0.8697,0.000123596,0.000123596,0.000123596
80,294.103,0.68047,0.36793,0.86245,0.92723,0.9321,0.9757,0.74421,0.92912,0.52357,0.86679,0.000113873,0.000113873,0.000113873
81,297.337,0.6617,0.36625,0.85785,0.9379,0.93224,0.979,0.74302,0.92834,0.49397,0.8662,0.000104537,0.000104537,0.000104537
82,300.849,0.67667,0.3749,0.85828,0.93032,0.93827,0.97928,0.73179,0.9284,0.48274,0.86545,9.55951e-05,9.55951e-05,9.55951e-05
83,304.115,0.65547,0.37619,0.8496,0.9327,0.94103,0.97956,0.74321,0.91953,0.47849,0.86372,8.70577e-05,8.70577e-05,8.70577e-05
84,307.443,0.63494,0.36198,0.84627,0.92703,0.9321,0.9786,0.74844,0.92513,0.48608,0.86475,7.89327e-05,7.89327e-05,7.89327e-05
85,310.645,0.65945,0.37147,0.83663,0.92657,0.94444,0.98048,0.7569,0.91973,0.46282,0.86456,7.12282e-05,7.12282e-05,7.12282e-05
86,314.053,0.66208,0.36037,0.86032,0.92691,0.93944,0.98075,0.75015,0.92662,0.46033,0.86603,6.39518e-05,6.39518e-05,6.39518e-05
87,317.402,0.66086,0.36415,0.84956,0.93761,0.92775,0.98089,0.74671,0.9376,0.46794,0.86794,5.71106e-05,5.71106e-05,5.71106e-05
88,321.821,0.66973,0.36131,0.84793,0.92298,0.93827,0.98106,0.74861,0.92816,0.46667,0.86604,5.07115e-05,5.07115e-05,5.07115e-05
89,327.984,0.66436,0.35236,0.85864,0.92133,0.93975,0.98065,0.75054,0.92544,0.46454,0.86562,4.47606e-05,4.47606e-05,4.47606e-05
90,332.138,0.66741,0.35258,0.83887,0.92041,0.94444,0.98029,0.74794,0.92134,0.46966,0.86409,3.9264e-05,3.9264e-05,3.9264e-05
91,360.637,0.64662,0.35515,0.83171,0.92148,0.94171,0.97964,0.74803,0.9177,0.47034,0.86356,3.4227e-05,3.4227e-05,3.4227e-05
92,364.368,0.63589,0.34684,0.84728,0.9214,0.94071,0.97974,0.74691,0.91702,0.46985,0.86408,2.96546e-05,2.96546e-05,2.96546e-05
93,367.924,0.64522,0.35111,0.84194,0.92137,0.94033,0.97987,0.749,0.92034,0.46807,0.86545,2.55513e-05,2.55513e-05,2.55513e-05
94,371.207,0.64209,0.35293,0.86356,0.92123,0.93845,0.97956,0.74877,0.92633,0.46803,0.8664,2.19212e-05,2.19212e-05,2.19212e-05
95,374.385,0.6646,0.34823,0.86088,0.93236,0.93597,0.97984,0.74588,0.93415,0.47014,0.8683,1.87678e-05,1.87678e-05,1.87678e-05
96,377.493,0.64507,0.35386,0.84085,0.92772,0.93827,0.97986,0.74431,0.9341,0.46703,0.86828,1.60943e-05,1.60943e-05,1.60943e-05
97,380.595,0.6684,0.34637,0.84604,0.92713,0.93827,0.97987,0.7449,0.93339,0.46516,0.86881,1.39032e-05,1.39032e-05,1.39032e-05
98,383.589,0.6311,0.34929,0.84919,0.92714,0.93827,0.97998,0.75086,0.92971,0.46244,0.86731,1.21968e-05,1.21968e-05,1.21968e-05
99,386.827,0.62129,0.33917,0.83457,0.9269,0.93827,0.97987,0.75255,0.92533,0.4626,0.8661,1.09768e-05,1.09768e-05,1.09768e-05
100,390.099,0.64043,0.35263,0.83909,0.9269,0.93923,0.97963,0.75036,0.9243,0.46145,0.86623,1.02443e-05,1.02443e-05,1.02443e-05
